bucket_center,username,rating,games_played
2600,Bodhiking_2,2595,1829
2600,JaiSankarS,2595,273
2600,GEOMAX5,2596,12302
2600,Richy_94,2599,800
2600,mortngabriel,2608,23819
2600,KarpovVadim,2610,5688
2600,Radical_Sphere47,2610,606
2700,bazar-wokzal,2694,9786
2700,jambuli77,2696,7116
2700,thecrusher444,2697,6737
2700,GORA2012,2700,1757
2700,Unfiltered77,2701,3000
2700,GM-MamaPenny,2705,16562
2700,GasconJR,2707,20508
2700,monther515,2707,4337
2700,juanquiros7,2709,2692
2700,Fever_Code,2710,5074
2800,HSH1987,2800,9300
2800,TheBrainCrusher,2800,9424
2800,username903509194,2801,3407
2800,xiaopuyi,2801,8957
2800,silentvacance,2802,1826
2800,profedechess93,2803,2799
2800,FreddySTH,2804,2522
2800,KenjiKichiro,2804,618
2800,Charlatante,2809,3869
2800,dabee,2809,40555
2900,rapidman01,2892,1870
2900,kachsona,2897,2177
2900,NovakCabarkapa,2898,3831
2900,Aborigen_came,2903,24661
2900,Andrei_Skvortsov,2903,18489
2900,PracticeMakesOK,2903,27539
2900,BSWPaulsen,2904,58254
2900,TheAwakeningRedeemer,2904,679
2900,BrownieCharles,2907,475
2900,Little_Skib,2909,7559
3000,Swiss_Fighter,2990,4897
3000,dkksskkswl,2992,2032
3000,kushagramohan,2996,9222
3000,iwanyu,2997,3398
3000,Vladimir_Zakhartsov,2999,5488
3000,aquarium76,3001,496
3000,stoqnbg_03,3004,693
3000,1LifeB4,3005,4636
3000,Caroexpert,3009,10763
3000,jcibarra,3009,10768
